libntfs-3g89t64	1:2022.10.3-5ubuntu1.1	amd64
libnuma1	2.0.19-1build1	amd64
libnvme1t64	1.16.1-4	amd64
libogg0	1.3.6-2	amd64
libonig5	6.9.10-1build1	amd64
libonnx1t64	1.20.0-1	amd64
libonnxruntime-providers	1.23.2+dfsg-6ubuntu1	amd64
libonnxruntime1.23	1.23.2+dfsg-6ubuntu1	amd64
libopenal-data	1:1.25.1-2	all
libopenal1	1:1.25.1-2	amd64
libopenexr-3-1-30	3.1.13-2build1	amd64
libopenh264-8	2.6.0+dfsg-2build1	amd64
libopeniscsiusr	2.1.11-3ubuntu3	amd64
libopenjp2-7	2.5.4-1ubuntu0.1	amd64
libopenmpt0t64	0.8.4-1	amd64
libopenni2-0	2.2.0.33+dfsg-19	amd64
libopus0	1.6.1-1	amd64
liborc-0.4-0t64	1:0.4.42-2	amd64
libp11-kit0	0.26.2-2	amd64
libpackagekit-glib2-18	1.3.4-3ubuntu1.2	amd64
libpam-cap	1:2.75-10ubuntu2	amd64
libpam-modules	1.7.0-5ubuntu3.2	amd64
libpam-modules-bin	1.7.0-5ubuntu3.2	amd64
libpam-runtime	1.7.0-5ubuntu3.2	all
libpam-systemd	259.5-0ubuntu3.4	amd64
libpam0g	1.7.0-5ubuntu3.2	amd64
libpango-1.0-0	1.57.0-1	amd64
libpangocairo-1.0-0	1.57.0-1	amd64
libpangoft2-1.0-0	1.57.0-1	amd64
libparted2t64	3.6-6	amd64
libpcap0.8t64	1.10.6-1ubuntu1	amd64
libpci3	1:3.14.0-1build2	amd64
libpciaccess0	0.18.1-1ubuntu4.1	amd64
libpcre2-8-0	10.46-1build1	amd64
libpcsclite1	2.4.1-1	amd64
libperl5.40	5.40.1-7ubuntu0.1	amd64
libpipeline1	1.5.8-2	amd64
libpipewire-0.3-0t64	1.6.2-1ubuntu1.1	amd64
libpixman-1-0	0.46.4-1	amd64
libplist-2.0-4	2.7.0+git20250820-1build1	amd64
libplymouth5	24.004.60+git20250831.4a3c171d-0ubuntu8	amd64
libpng16-16t64	1.6.57-1	amd64
libpolkit-agent-1-0	127-2ubuntu1	amd64
libpolkit-gobject-1-0	127-2ubuntu1	amd64
libpopt0	1.19+dfsg-2build1	amd64
libproc-processtable-perl	0.637-1	amd64
libproc2-0	2:4.0.4-9ubuntu1	amd64
libprotobuf32t64	3.21.12-15ubuntu1	amd64
libproxy1v5	0.5.12-1	amd64
libpsl5t64	0.21.2-1.1build2	amd64
libpthreadpool0	0.0~git20251020.0e6ca13-1	amd64
libpulse0	1:17.0+dfsg1-2ubuntu4	amd64
libpython3-stdlib	3.14.3-0ubuntu2	amd64
libpython3.14	3.14.4-1ubuntu0.1	amd64
libpython3.14-minimal	3.14.4-1ubuntu0.1	amd64
libpython3.14-stdlib	3.14.4-1ubuntu0.1	amd64
libqmi-glib5	1.38.0-1	amd64
libqmi-proxy	1.38.0-1	amd64
libqmi-utils	1.38.0-1	amd64
libqrencode4	4.1.1-2build1	amd64
libqrtr-glib0	1.2.2-2ubuntu1	amd64
libraptor2-0	2.0.16-6build1	amd64
libraw1394-11	2.1.2-2build4	amd64
libre2-11	20250805-1build3	amd64
libreadline8t64	8.3-4	amd64
librsvg2-2	2.61.3+dfsg-3	amd64
librtmp1	2.4+20151223.gitfa8646d.1-3	amd64
libsamplerate0	0.2.2-4build2	amd64
libsasl2-2	2.1.28+dfsg1-9ubuntu3	amd64
libsasl2-modules	2.1.28+dfsg1-9ubuntu3	amd64
libsasl2-modules-db	2.1.28+dfsg1-9ubuntu3	amd64
libsbc1	2.1-1build1	amd64
libsdl3-0	3.4.2+ds-1ubuntu1	amd64
libseccomp2	2.6.0-2ubuntu5	amd64
libselinux1	3.9-4build1	amd64
libsemanage-common	3.9-1build1	all
libsemanage2	3.9-1build1	amd64
libsensors-config	1:3.6.2-2build1	all
libsensors5	1:3.6.2-2build1	amd64
libsepol2	3.9-2	amd64
libserd-0-0	0.32.6-1	amd64
libsframe3	2.46-3ubuntu2	amd64
libsgutils2-1.48	1.48-3ubuntu3.1	amd64
libsharpyuv0	1.5.0-0.1build1	amd64
libshout3	2.4.6-1build3	amd64
libsimdjson29	4.2.4-1	amd64
libsimdutf31	8.0.0-1	amd64
libslang2	2.3.3-5build1	amd64
libsm6	2:1.2.6-1build1	amd64
libsmartcols1	2.41.3-3ubuntu2.2	amd64
libsnappy1v5	1.2.2-2	amd64
libsndfile1	1.2.2-4	amd64
libsodium23	1.0.18-2	amd64
libsord-0-0	0.16.20-1	amd64
libsort-naturally-perl	1.03-4	all
libsoundtouch1	2.4.0+ds-1build1	amd64
libsoup-3.0-0	3.6.6-1	amd64
libsoup-3.0-common	3.6.6-1	all
libspa-0.2-modules	1.6.2-1ubuntu1.1	amd64
libspandsp2t64	0.0.6+dfsg-2.2build2	amd64
libspeex1	1.2.1-3build1	amd64
libsqlite3-0	3.46.1-9ubuntu0.2	amd64
libsratom-0-0	0.6.20-1	amd64
libsrt1.5-gnutls	1.5.4-3	amd64
libsrtp2-1	2.7.0-3build1	amd64
libss2	1.47.2-3ubuntu4	amd64
libssh2-1t64	1.11.1-1ubuntu0.26.04.4	amd64
libssl3t64	3.5.5-1ubuntu3.5	amd64
libstdc++6	16-20260322-1ubuntu1	amd64
libstemmer0d	3.0.1-1	amd64
libsvtav1enc2	2.3.0+dfsg-1build1	amd64
libsystemd-shared	259.5-0ubuntu3.4	amd64
libsystemd0	259.5-0ubuntu3.4	amd64
libtag2	2.2.1-3	amd64
libtasn1-6	4.21.0-2	amd64
libtcl8.6	8.6.17+dfsg-1build1	amd64
libteamdctl0	1.31-1build4	amd64
libtensorflow-lite2.14.1	2.14.1+dfsg-3build1	amd64
libterm-readkey-perl	2.38-2build5	amd64
libtext-charwidth-perl	0.04-11build4	amd64
libtext-iconv-perl	1.7-8.1	amd64
libtext-wrapi18n-perl	0.06-10	all
libthai-data	0.1.30-1	all
libthai0	0.1.30-1	amd64
libtheora1	1.2.0+dfsg-6	amd64
libtheoradec2	1.2.0+dfsg-6	amd64
libtheoraenc2	1.2.0+dfsg-6	amd64
libtiff6	4.7.0-3ubuntu5	amd64
